,Symbol,Perc_Return
79,PIR,0.5795454193597129
237,RVNC,0.2943882100234769
171,HOME,0.2693369987446801
97,PLUG,0.24336281178635955
165,HOV,0.23561866222710837
207,ACER,0.23487548016739201
125,MARK,0.2244898207432917
203,FNMAL,0.21546671549479157
224,DNR,0.16814164426745215
120,RUN,0.16167660643205428
41,CPRI,0.16031350370230846
146,SEDG,0.15739057334315687
181,CRK,0.15674374086013776
151,CLB,0.15577193592440364
148,ATLC,0.15523936392514082
173,RH,0.13698260659860972
155,ILMN,0.13037041558159723
4,DOCU,0.12599964625750548
128,TV,0.1252722854357522
218,INGN,0.12411271378291144
104,ASPU,0.12236295960967758
153,DDD,0.12096775382333358
149,GCO,0.11870506330877606
108,UEPS,0.11146493405714386
129,VHC,0.1102804043187009
159,NTNX,0.10392327936608514
94,LLNW,0.10247348751630181
42,DOW,0.10175757493952187
226,JP,0.09382158695338583
67,TSLA,0.08419436980529471
84,ECA,0.08388512582868879
70,BBT,0.08353857949196253
15,GE,0.08151550344861103
50,BLDR,0.07813318274580583
117,HAS,0.07580068084878788
63,BAC,0.0753696425203525
220,SIVB,0.07343004207538328
142,SFIX,0.07162540891085967
91,URI,0.07023696746806318
225,NM,0.06881713726049576
32,FSLR,0.06782356676312218
184,ENPH,0.06771658450925
199,EOG,0.06763472009185612
182,DRRX,0.06741573409952317
206,EGRX,0.06710308263463705
17,JPM,0.06011896462456878
210,ZIXI,0.05921938995775777
21,BA,0.05906336760717967
152,COF,0.057602835480533354
158,NTLA,0.05722668572429335
22,C,0.056995635389657684
219,MED,0.05653076311347083
102,PXD,0.05478387387361794
195,BX,0.05022836306618661
121,SFM,0.04867493940892831
60,TER,0.04743223538803654
222,RTN,0.04657143129535379
133,ASML,0.046235743176463284
208,KR,0.04534408491052533
180,WMGI,0.044291320474749485
234,CXO,0.043053960775846445
137,LRCX,0.039224300251088584
204,GS,0.03870464144497876
92,CHK,0.037974646297370906
170,CRSP,0.03756272923380988
0,AAPL,0.03610621966317473
217,ANET,0.03576583811505718
6,ICLN,0.03545457666570484
48,UAA,0.03323106524936481
174,WMS,0.03241886039493047
88,KHC,0.03189145564467166
132,AMAT,0.03153696365621306
127,TAP,0.030325773158183855
61,ALGN,0.030275352026003954
106,GME,0.03016243994589951
114,NGG,0.029593786396878263
54,UTX,0.028723137615122907
213,goog,0.02803474535515771
43,GOOG,0.02803474535515771
135,EQIX,0.02696313183291288
52,GOOGL,0.02688345974109141
105,FAST,0.02661603530263057
37,T,0.02482762830010765
123,TSN,0.024755895290019314
187,PW,0.023012479466325564
191,AEP,0.022944385237786857
13,CVS,0.02249721253699688
11,BRK-B,0.021931351472011418
69,BABA,0.021336828458707657
215,NOC,0.021236092644588922
205,ZUMZ,0.021165794375016977
38,WMT,0.020744331768331126
209,UUUU,0.019900478628265272
20,XOM,0.01973779105957152
228,CELG,0.01852800199785687
83,AAL,0.018351864150110364
193,LMT,0.01777213152053103
221,ALXN,0.017623284818885532
201,GILD,0.017587155122116727
138,MU,0.017357534264502705
196,IBM,0.01707329993196116
26,IAG,0.016997151066808325
124,VTSNX,0.015878763933419693
55,VZ,0.015577347571166245
115,BUD,0.015068971536903453
16,JNJ,0.014819388479751616
87,DHI,0.014761576860212733
53,MCK,0.014623891054800886
45,MSFT,0.01416248119527097
